City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
439,Ganzhou,CN,83.37,light rain,28.82,115.43,Gold Jiao Hotel
450,Aksu,CN,80.8,clear sky,41.12,80.26,Pudong Holiday Hotel
451,Ixtapa,MX,86.0,overcast clouds,20.7,-105.2,Container Inn Puerto Vallarta
456,Nioro,GM,79.5,broken clouds,13.35,-15.75,
457,Papillion,US,80.6,broken clouds,41.15,-96.04,lalithya constructions the lake shore
458,Buala,SB,85.01,scattered clouds,-8.14,159.59,Maringe Lagoon Lodge
461,Luganville,VU,80.6,overcast clouds,-15.53,167.17,The Espiritu Hotel
464,Manaure,CO,81.59,few clouds,11.78,-72.44,Del mar vendra
465,Amet,IN,82.98,scattered clouds,25.3,73.93,Nimit Mehta
468,Wattegama,LK,84.2,few clouds,6.8,81.48,
470,Massaguet,TD,78.8,few clouds,12.48,15.44,Alwatane
475,Kailua,US,84.2,scattered clouds,21.4,-157.74,Sheffield House Bed & Breakfast
476,Auki,SB,85.12,light rain,-8.77,160.7,Auki Motel
477,Biak,ID,81.54,light rain,-0.91,122.88,Kost Ariz
478,Taiyuan,CN,87.8,clear sky,37.87,112.56,Taiyuan Wanda Wenhua Hotel
479,Rincon,US,78.8,overcast clouds,32.3,-81.24,Bent tree subdivision
484,Itoman,JP,87.8,broken clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
488,Oussouye,SN,82.4,scattered clouds,12.48,-16.55,Auberge du Routard
490,Jiangyou,CN,87.57,broken clouds,31.77,104.72,Shangping Shuyuan Inn
491,Tura,IN,84.11,few clouds,25.52,90.22,Hotel RIKMAN Continental
494,Najran,SA,80.6,scattered clouds,17.49,44.13,محمد هادي ال فطيح
496,Hayden,US,78.01,clear sky,47.77,-116.79,Triple Play Resort Hotel & Suites
497,Gigmoto,PH,87.21,scattered clouds,13.78,124.39,Cj's Travellers Inn
500,Kloulklubed,PW,84.2,broken clouds,7.04,134.26,Storyboard Beach Resort
502,Albenga,IT,78.01,clear sky,44.05,8.22,Albergo Marisa Snc dei Fratelli Ancona
503,Saint Anthony,US,79.0,clear sky,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
506,Vanimo,PG,83.14,overcast clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
