City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
238,Ndele,CF,8.41,20.65,70.52,95,94,2.33,light rain,0.61,0.0
239,Arraial Do Cabo,BR,-22.97,-42.03,71.6,88,0,12.75,clear sky,0.0,0.0
240,Hami,CN,42.8,93.45,75.43,37,0,8.43,clear sky,0.0,0.0
241,Nakambala,ZM,-15.83,27.78,54.1,77,8,6.29,clear sky,0.0,0.0
242,Skibbereen,IE,51.55,-9.27,57.2,100,75,11.41,light rain,0.0,0.0
243,Tuatapere,NZ,-46.13,167.68,39.0,83,98,3.0,light rain,0.96,0.0
244,Bitin,PH,14.09,121.21,89.01,66,100,1.12,overcast clouds,0.0,0.0
245,Matara,LK,5.95,80.54,78.4,89,100,8.37,overcast clouds,0.0,0.0
246,Port Lincoln,AU,-34.73,135.87,51.19,58,0,11.03,clear sky,0.0,0.0
247,Yar-Sale,RU,66.83,70.83,65.82,71,99,6.15,overcast clouds,0.0,0.0
248,Pozega,HR,45.34,17.69,57.0,93,0,2.24,clear sky,0.0,0.0
249,Alyangula,AU,-13.85,136.42,73.4,73,25,5.82,scattered clouds,0.0,0.0
250,Matagami,CA,49.75,-77.63,80.6,54,1,9.17,clear sky,0.0,0.0
251,Vila Franca Do Campo,PT,37.72,-25.43,66.2,77,40,9.17,scattered clouds,0.0,0.0
252,Coquimbo,CL,-29.95,-71.34,53.6,76,11,3.36,few clouds,0.0,0.0
253,Segovia,ES,41.17,-4.0,71.01,20,5,5.5,clear sky,0.0,0.0
254,Kalabo,ZM,-14.97,22.68,50.58,47,0,4.52,clear sky,0.0,0.0
255,Georgetown,MY,5.41,100.34,75.2,100,20,4.54,few clouds,0.0,0.0
256,Japura,ID,-0.32,102.35,73.2,98,99,1.21,moderate rain,1.74,0.0
257,Esperance,AU,-33.87,121.9,48.2,93,9,10.29,clear sky,0.0,0.0
258,Usinsk,RU,65.99,57.53,63.7,68,86,3.65,overcast clouds,0.0,0.0
259,Hamilton,US,39.18,-84.53,87.01,70,20,4.54,few clouds,0.0,0.0
260,Sambava,MG,-14.27,50.17,73.09,91,97,14.36,light rain,0.38,0.0
261,Tessalit,ML,20.2,1.01,88.75,12,0,6.82,clear sky,0.0,0.0
262,Harper,LR,4.38,-7.72,75.56,85,100,8.37,overcast clouds,0.0,0.0
263,Svetlogorsk,BY,52.63,29.73,55.29,79,99,10.69,overcast clouds,0.0,0.0
