City_ID,City,Country,Date,Humidity,Lat,Lng,Max Temp,Cloudiness,Wind Speed
70,Hermanus,ZA,2020-07-06 22:36:41,92,-34.42,19.23,55.0,23,5.99
71,Saskylakh,RU,2020-07-06 22:36:41,77,71.92,114.08,45.7,100,11.05
72,Luanda,AO,2020-07-06 22:36:42,88,-8.84,13.23,71.6,20,8.05
73,Saint-Philippe,RE,2020-07-06 22:36:42,94,-21.36,55.77,69.8,90,4.7
74,Tautira,PF,2020-07-06 22:36:42,62,-17.73,-149.15,84.2,75,5.82
75,Faanui,PF,2020-07-06 22:36:42,80,-16.48,-151.75,78.51,42,13.06
76,Pandan,PH,2020-07-06 22:36:42,76,14.05,124.17,83.55,21,7.38
77,Castro,BR,2020-07-06 22:36:42,95,-24.79,-50.01,58.44,45,4.81
78,Leningradskiy,RU,2020-07-06 22:36:42,76,69.38,178.42,46.81,98,5.97
79,Balkanabat,TM,2020-07-06 22:36:42,18,39.51,54.37,86.18,0,11.03
80,Bambous Virieux,MU,2020-07-06 22:36:43,94,-20.34,57.76,73.4,75,5.82
81,Tateyama,JP,2020-07-06 22:36:43,94,34.98,139.87,78.01,75,18.34
82,Puerto Ayora,EC,2020-07-06 22:36:43,65,-0.74,-90.35,77.0,40,19.46
83,Riyadh,SA,2020-07-06 22:33:29,19,24.69,46.72,89.6,39,2.24
84,Taiobeiras,BR,2020-07-06 22:36:43,86,-15.81,-42.23,62.74,19,4.03
85,Acarau,BR,2020-07-06 22:32:53,84,-2.89,-40.12,77.5,100,10.04
86,Iberia,US,2020-07-06 22:36:44,83,29.95,-91.75,84.2,90,5.82
87,Buchanan,LR,2020-07-06 22:36:44,94,5.88,-10.05,75.2,75,7.74
88,North Myrtle Beach,US,2020-07-06 22:31:57,78,33.82,-78.68,82.99,40,11.41
89,San Ramon,US,2020-07-06 22:36:13,29,37.78,-121.98,84.99,1,13.87
90,Nelson Bay,AU,2020-07-06 22:36:44,93,-32.72,152.15,50.0,75,8.05
91,Port-Gentil,GA,2020-07-06 22:36:45,94,-0.72,8.78,75.2,90,5.82
92,Kroya,ID,2020-07-06 22:36:45,89,-7.63,109.25,75.54,95,5.32
93,Balaipungut,ID,2020-07-06 22:31:49,94,1.05,101.28,75.2,40,2.3
94,Nanlong,CN,2020-07-06 22:36:45,88,31.35,106.06,75.58,100,2.15
95,Los Llanos De Aridane,ES,2020-07-06 22:36:45,83,28.66,-17.92,71.6,75,13.87
96,Ishinomaki,JP,2020-07-06 22:36:45,94,38.42,141.3,69.8,75,1.12
97,Komsomolskiy,UZ,2020-07-06 22:36:45,37,40.43,71.72,71.6,0,4.7
98,Rosa Zarate,EC,2020-07-06 22:36:46,88,0.33,-79.47,74.48,98,4.14
99,Matara,LK,2020-07-06 22:36:46,88,5.95,80.54,77.4,60,8.3
100,Itoman,JP,2020-07-06 22:36:46,89,26.12,127.67,84.2,40,9.17
101,Mahibadhoo,MV,2020-07-06 22:36:46,76,3.78,72.97,83.21,100,9.44
102,Kruisfontein,ZA,2020-07-06 22:36:46,86,-34.0,24.73,56.21,13,17.74
103,Butaritari,KI,2020-07-06 22:36:46,72,3.07,172.79,84.36,52,14.0
104,Shizukuishi,JP,2020-07-06 22:36:46,100,39.68,140.98,71.6,75,1.12
105,Padang,ID,2020-07-06 22:36:47,77,-0.95,100.35,77.68,96,5.41
106,Matagami,CA,2020-07-06 22:36:47,36,49.75,-77.63,80.6,90,9.17
107,Mount Gambier,AU,2020-07-06 22:36:47,87,-37.83,140.77,48.2,90,3.36
108,Punta Arenas,CL,2020-07-06 22:35:54,92,-53.15,-70.92,30.2,90,8.68
109,Tacna,PE,2020-07-06 22:33:26,77,-18.01,-70.25,60.8,90,5.82
110,Linxia,CN,2020-07-06 22:36:48,58,35.6,103.21,61.48,51,2.21
111,Ribeira Grande,PT,2020-07-06 22:36:48,88,38.52,-28.7,68.81,14,11.27
112,Ulaangom,MN,2020-07-06 22:36:48,80,49.98,92.07,61.52,100,6.02
113,Bethel,US,2020-07-06 22:36:48,69,41.37,-73.41,78.8,75,12.75
114,Vaini,TO,2020-07-06 22:36:48,83,-21.2,-175.2,78.8,75,11.41
